scenario,method,T,beta,avg_regret,std_regret,n_trials
unknown,dip,10000,2.0,1030.0172157330499,10.218453899417625,50
unknown,kernel_baseline,10000,2.0,1312.5708926335635,103.76228805582981,50
unknown,mymethod,10000,2.0,172.35216491752627,476.50714923086935,50
unknown,dip,20000,2.0,1798.2847109407896,14.625547704449449,50
unknown,kernel_baseline,20000,2.0,2251.70648763565,345.796381546614,50
unknown,mymethod,20000,2.0,155.27357090607114,33.243122317116544,50
unknown,dip,40000,2.0,3295.210119429603,22.063000361509317,50
unknown,kernel_baseline,40000,2.0,3705.4564490196817,479.37086409237173,50
unknown,mymethod,40000,2.0,239.11707772816763,54.24608232674508,50
unknown,dip,60000,2.0,4452.892695807397,23.187379441583218,50
unknown,kernel_baseline,60000,2.0,5022.230400217166,481.26069653169054,50
unknown,mymethod,60000,2.0,282.9402072526637,71.34587925932755,50
unknown,dip,80000,2.0,5701.442527909866,27.192280424567265,50
unknown,kernel_baseline,80000,2.0,6042.708929679094,479.28651709329205,50
unknown,mymethod,80000,2.0,361.9899719700853,147.27252658044858,50
